,uid,nprocs,run_time,exe,MPIIO_agg_perf_by_slowest,MPIIO_TOTAL_FILES,MPIIO_READ_ONLY_FILES,MPIIO_WRITE_ONLY_FILES,MPIIO_READ_WRITE_FILES,MPIIO_UNIQUE_FILES,MPIIO_SHARE_FILES,MPIIO_INDEP_OPENS,MPIIO_COLL_OPENS,MPIIO_INDEP_READS,MPIIO_INDEP_WRITES,MPIIO_COLL_READS,MPIIO_COLL_WRITES,MPIIO_SPLIT_READS,MPIIO_SPLIT_WRITES,MPIIO_NB_READS,MPIIO_NB_WRITES,MPIIO_SYNCS,MPIIO_HINTS,MPIIO_VIEWS,MPIIO_MODE,MPIIO_BYTES_READ,MPIIO_BYTES_WRITTEN,MPIIO_RW_SWITCHES,MPIIO_MAX_READ_TIME_SIZE,MPIIO_MAX_WRITE_TIME_SIZE,MPIIO_SIZE_READ_AGG_0_100,MPIIO_SIZE_READ_AGG_100_1K,MPIIO_SIZE_READ_AGG_1K_10K,MPIIO_SIZE_READ_AGG_10K_100K,MPIIO_SIZE_READ_AGG_100K_1M,MPIIO_SIZE_READ_AGG_1M_4M,MPIIO_SIZE_READ_AGG_4M_10M,MPIIO_SIZE_READ_AGG_10M_100M,MPIIO_SIZE_READ_AGG_100M_1G,MPIIO_SIZE_READ_AGG_1G_PLUS,MPIIO_SIZE_WRITE_AGG_0_100,MPIIO_SIZE_WRITE_AGG_100_1K,MPIIO_SIZE_WRITE_AGG_1K_10K,MPIIO_SIZE_WRITE_AGG_10K_100K,MPIIO_SIZE_WRITE_AGG_100K_1M,MPIIO_SIZE_WRITE_AGG_1M_4M,MPIIO_SIZE_WRITE_AGG_4M_10M,MPIIO_SIZE_WRITE_AGG_10M_100M,MPIIO_SIZE_WRITE_AGG_100M_1G,MPIIO_SIZE_WRITE_AGG_1G_PLUS,MPIIO_ACCESS1_ACCESS,MPIIO_ACCESS2_ACCESS,MPIIO_ACCESS3_ACCESS,MPIIO_ACCESS4_ACCESS,MPIIO_ACCESS1_COUNT,MPIIO_ACCESS2_COUNT,MPIIO_ACCESS3_COUNT,MPIIO_ACCESS4_COUNT,MPIIO_FASTEST_RANK,MPIIO_FASTEST_RANK_BYTES,MPIIO_SLOWEST_RANK,MPIIO_SLOWEST_RANK_BYTES
0,393082,8192,169374.0,exec parfile.par,953.2215918944579,40,1,39,0,0,40,0.0,327680.0,73749.0,10239.0,8192.0,52248576.0,0.0,0.0,0.0,0.0,32768.0,0.0,104513536.0,353.0,74645505244.0,864496430852.0,0.0,10771200.0,34527384.0,24584.0,49163.0,2.0,0.0,0.0,5.0,3693.0,4494.0,0.0,0.0,42098.0,9093.0,48382967.0,3759918.0,31971.0,20.0,14772.0,17976.0,0.0,0.0,43407872.0,31462728.0,17463984.0,37012736.0,28389550.0,17433657.0,2584137.0,2139670.0,113896.0,101704672.0,13196.0,182864408.0
1,49294,112,15.0,/u/staff/arnoldg/ior/src/ior -f /u/staff/arnoldg/ior/iorscript,3907.665708188406,1,0,0,1,0,1,0.0,1792.0,0.0,0.0,3584.0,3584.0,0.0,0.0,0.0,0.0,0.0,896.0,0.0,2.0,30064771072.0,30064771072.0,784.0,8388608.0,8388608.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,8388608.0,0.0,0.0,0.0,7168.0,0.0,0.0,0.0,30.0,536870912.0,69.0,536870912.0
2,49294,112,14.0,/u/staff/arnoldg/ior/src/ior -f /u/staff/arnoldg/ior/iorscript,4142.271767406052,1,0,0,1,0,1,0.0,1792.0,0.0,0.0,3584.0,3584.0,0.0,0.0,0.0,0.0,0.0,896.0,0.0,2.0,30064771072.0,30064771072.0,784.0,8388608.0,8388608.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,8388608.0,0.0,0.0,0.0,7168.0,0.0,0.0,0.0,75.0,536870912.0,97.0,536870912.0
3,49294,112,19.0,/u/staff/arnoldg/ior/src/ior -f /u/staff/arnoldg/ior/iorscript,3111.3316679329023,1,0,0,1,0,1,0.0,1792.0,0.0,0.0,3584.0,3584.0,0.0,0.0,0.0,0.0,0.0,896.0,0.0,2.0,30064771072.0,30064771072.0,784.0,8388608.0,8388608.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,8388608.0,0.0,0.0,0.0,7168.0,0.0,0.0,0.0,18.0,536870912.0,90.0,536870912.0
4,49294,112,14.0,/u/staff/arnoldg/ior/src/ior -f /u/staff/arnoldg/ior/iorscript,4150.267121142668,1,0,0,1,0,1,0.0,1792.0,0.0,0.0,3584.0,3584.0,0.0,0.0,0.0,0.0,0.0,896.0,0.0,2.0,30064771072.0,30064771072.0,784.0,8388608.0,8388608.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,8388608.0,0.0,0.0,0.0,7168.0,0.0,0.0,0.0,44.0,536870912.0,55.0,536870912.0
5,49294,112,14.0,/u/staff/arnoldg/ior/src/ior -f /u/staff/arnoldg/ior/iorscript,4187.769957142762,1,0,0,1,0,1,0.0,1792.0,0.0,0.0,3584.0,3584.0,0.0,0.0,0.0,0.0,0.0,896.0,0.0,2.0,30064771072.0,30064771072.0,784.0,8388608.0,8388608.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,8388608.0,0.0,0.0,0.0,7168.0,0.0,0.0,0.0,58.0,536870912.0,18.0,536870912.0
6,393082,8192,169645.0,exec parfile.par,134.493814082653,57,1,56,0,0,57,0.0,466944.0,73749.0,15020.0,8192.0,76767232.0,0.0,0.0,0.0,0.0,40960.0,0.0,153550848.0,506.0,74645505244.0,1205010687536.0,0.0,11299200.0,57621928.0,24584.0,49163.0,2.0,0.0,0.0,5.0,3693.0,4494.0,0.0,0.0,42622.0,13348.0,71113193.0,5525198.0,46931.0,25.0,18465.0,22470.0,0.0,0.0,54326528.0,39402568.0,21865904.0,43675520.0,41714386.0,25618924.0,3793277.0,3142326.0,247539.0,143389952.0,21408.0,565546408.0
7,49294,112,15.0,/u/staff/arnoldg/ior/src/ior -f /u/staff/arnoldg/ior/iorscript,4135.561985422566,1,0,0,1,0,1,0.0,1792.0,0.0,0.0,3584.0,3584.0,0.0,0.0,0.0,0.0,0.0,896.0,0.0,2.0,30064771072.0,30064771072.0,784.0,8388608.0,8388608.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,8388608.0,0.0,0.0,0.0,7168.0,0.0,0.0,0.0,89.0,536870912.0,34.0,536870912.0
8,393082,8192,169616.0,exec parfile.par,135.51621172139133,53,1,52,0,0,53,0.0,434176.0,73749.0,13832.0,8192.0,70639616.0,0.0,0.0,0.0,0.0,40960.0,0.0,141295616.0,470.0,74645505244.0,1138537994448.0,0.0,11299200.0,47711192.0,24584.0,49163.0,2.0,0.0,0.0,5.0,3693.0,4494.0,0.0,0.0,42494.0,12288.0,65430637.0,5083878.0,43191.0,25.0,18465.0,22470.0,0.0,0.0,54289664.0,39361608.0,21845424.0,43620224.0,38384290.0,23573144.0,3491085.0,2891746.0,219994.0,144380416.0,18144.0,626959984.0
9,393082,8192,169376.0,exec parfile.par,1010.6729245233565,42,1,41,0,0,42,0.0,344064.0,73749.0,10565.0,8192.0,53788672.0,0.0,0.0,0.0,0.0,40960.0,0.0,107593728.0,371.0,74645505244.0,955738088456.0,0.0,10771200.0,45474144.0,24584.0,49163.0,2.0,0.0,0.0,5.0,3693.0,4494.0,0.0,0.0,42142.0,9373.0,49803608.0,3870248.0,32906.0,25.0,18465.0,22470.0,0.0,0.0,54188288.0,39248968.0,21789104.0,43468160.0,29226526.0,17947249.0,2660057.0,2202651.0,101059.0,123031168.0,34868.0,208307232.0
10,49294,112,14.0,/u/staff/arnoldg/ior/src/ior -f /u/staff/arnoldg/ior/iorscript,4029.6018254308983,1,0,0,1,0,1,0.0,1792.0,0.0,0.0,3584.0,3584.0,0.0,0.0,0.0,0.0,0.0,896.0,0.0,2.0,30064771072.0,30064771072.0,784.0,8388608.0,8388608.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,8388608.0,0.0,0.0,0.0,7168.0,0.0,0.0,0.0,4.0,536870912.0,34.0,536870912.0
11,49294,112,38.0,/u/staff/arnoldg/ior/src/ior -f /u/staff/arnoldg/ior/iorscript,1533.3405978819237,1,0,0,1,0,1,0.0,1792.0,0.0,0.0,3584.0,3584.0,0.0,0.0,0.0,0.0,0.0,896.0,0.0,2.0,30064771072.0,30064771072.0,784.0,8388608.0,8388608.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,8388608.0,0.0,0.0,0.0,7168.0,0.0,0.0,0.0,42.0,536870912.0,78.0,536870912.0
12,393082,8192,169426.0,exec input.rad_ccsn,139.98716607837926,46,1,45,0,0,46,0.0,376832.0,73749.0,11753.0,8192.0,59916288.0,0.0,0.0,0.0,0.0,40960.0,0.0,119848960.0,407.0,74645505244.0,1022210781544.0,0.0,11299200.0,46896040.0,24584.0,49163.0,2.0,0.0,0.0,5.0,3693.0,4494.0,0.0,0.0,42270.0,10433.0,55486164.0,4311568.0,36646.0,25.0,18465.0,22470.0,0.0,0.0,54225152.0,39289928.0,21809584.0,43523456.0,32556622.0,19993029.0,2962249.0,2453231.0,216340.0,117756416.0,22429.0,444282836.0
13,49294,112,15.0,/u/staff/arnoldg/ior/src/ior -f /u/staff/arnoldg/ior/iorscript,4038.874116409796,1,0,0,1,0,1,0.0,1792.0,0.0,0.0,3584.0,3584.0,0.0,0.0,0.0,0.0,0.0,896.0,0.0,2.0,30064771072.0,30064771072.0,784.0,8388608.0,8388608.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,8388608.0,0.0,0.0,0.0,7168.0,0.0,0.0,0.0,46.0,536870912.0,62.0,536870912.0
14,49294,112,14.0,/u/staff/arnoldg/ior/src/ior -f /u/staff/arnoldg/ior/iorscript,4056.0197144430426,1,0,0,1,0,1,0.0,1792.0,0.0,0.0,3584.0,3584.0,0.0,0.0,0.0,0.0,0.0,896.0,0.0,2.0,30064771072.0,30064771072.0,784.0,8388608.0,8388608.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,8388608.0,0.0,0.0,0.0,7168.0,0.0,0.0,0.0,44.0,536870912.0,55.0,536870912.0
15,49294,112,15.0,/u/staff/arnoldg/ior/src/ior -f /u/staff/arnoldg/ior/iorscript,3968.645491342992,1,0,0,1,0,1,0.0,1792.0,0.0,0.0,3584.0,3584.0,0.0,0.0,0.0,0.0,0.0,896.0,0.0,2.0,30064771072.0,30064771072.0,784.0,8388608.0,8388608.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,8388608.0,0.0,0.0,0.0,7168.0,0.0,0.0,0.0,33.0,536870912.0,90.0,536870912.0
16,49294,112,14.0,/u/staff/arnoldg/ior/src/ior -f /u/staff/arnoldg/ior/iorscript,4025.5868155236863,1,0,0,1,0,1,0.0,1792.0,0.0,0.0,3584.0,3584.0,0.0,0.0,0.0,0.0,0.0,896.0,0.0,2.0,30064771072.0,30064771072.0,784.0,8388608.0,8388608.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,8388608.0,0.0,0.0,0.0,7168.0,0.0,0.0,0.0,28.0,536870912.0,78.0,536870912.0
17,49294,112,14.0,/u/staff/arnoldg/ior/src/ior -f /u/staff/arnoldg/ior/iorscript,4182.6929860667715,1,0,0,1,0,1,0.0,1792.0,0.0,0.0,3584.0,3584.0,0.0,0.0,0.0,0.0,0.0,896.0,0.0,2.0,30064771072.0,30064771072.0,784.0,8388608.0,8388608.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,8388608.0,0.0,0.0,0.0,7168.0,0.0,0.0,0.0,28.0,536870912.0,61.0,536870912.0
18,49294,112,14.0,/u/staff/arnoldg/ior/src/ior -f /u/staff/arnoldg/ior/iorscript,4151.768500376083,1,0,0,1,0,1,0.0,1792.0,0.0,0.0,3584.0,3584.0,0.0,0.0,0.0,0.0,0.0,896.0,0.0,2.0,30064771072.0,30064771072.0,784.0,8388608.0,8388608.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,8388608.0,0.0,0.0,0.0,7168.0,0.0,0.0,0.0,73.0,536870912.0,6.0,536870912.0
19,370969,65536,85507.0,exec parfile.par,154.75003127536496,33,1,32,0,0,33,0.0,2162688.0,589845.0,8428.0,65536.0,344391680.0,0.0,0.0,0.0,0.0,196608.0,0.0,688914432.0,290.0,284092797916.0,2716904530504.0,0.0,5040000.0,11128096.0,196616.0,393227.0,2.0,0.0,0.0,29196.0,36340.0,0.0,0.0,0.0,328614.0,7488.0,325576320.0,17950023.0,335808.0,92835.0,109020.0,0.0,0.0,0.0,14799872.0,11639112.0,15235616.0,14923136.0,139631638.0,97842761.0,41880603.0,18307126.0,790250.0,39335456.0,183853.0,55681352.0
20,49294,112,14.0,/u/staff/arnoldg/ior/src/ior -f /u/staff/arnoldg/ior/iorscript,4080.048345107271,1,0,0,1,0,1,0.0,1792.0,0.0,0.0,3584.0,3584.0,0.0,0.0,0.0,0.0,0.0,896.0,0.0,2.0,30064771072.0,30064771072.0,784.0,8388608.0,8388608.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,8388608.0,0.0,0.0,0.0,7168.0,0.0,0.0,0.0,59.0,536870912.0,71.0,536870912.0
21,49294,2,1.0,/u/system/bwjenkins/hdf5-jenkins/ph5example -c,2.547980526852547,2,0,0,2,0,2,1.0,8.0,36.0,27.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,19264.0,13840.0,6.0,1160.0,2304.0,12.0,20.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2304.0,1024.0,192.0,1088.0,16.0,12.0,8.0,5.0,2.0,15984.0,0.0,17120.0
22,369814,2048,18644.0,./run,160.9010454552506,1,1,0,0,0,1,0.0,2048.0,7159808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9072702592.0,0.0,0.0,128.0,0.0,2736784.0,1523056.0,2899968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,8.0,128.0,456.0,492857.0,324866.0,149944.0,100215.0,10.0,4445376.0,1087.0,4428104.0
23,369814,2048,21785.0,./run,152.6280646007978,1,1,0,0,0,1,0.0,2048.0,7159808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9072702592.0,0.0,0.0,3784.0,0.0,2736784.0,1523056.0,2899968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,8.0,128.0,456.0,492857.0,324866.0,169418.0,100215.0,35.0,4444176.0,1567.0,4423872.0
24,49294,112,15.0,/u/staff/arnoldg/ior/src/ior -f /u/staff/arnoldg/ior/iorscript,4051.756625170323,1,0,0,1,0,1,0.0,1792.0,0.0,0.0,3584.0,3584.0,0.0,0.0,0.0,0.0,0.0,896.0,0.0,2.0,30064771072.0,30064771072.0,784.0,8388608.0,8388608.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,8388608.0,0.0,0.0,0.0,7168.0,0.0,0.0,0.0,4.0,536870912.0,27.0,536870912.0
25,49294,2,0.0,/u/system/bwjenkins/hdf5-jenkins/ph5example -c,2.81323163865814,2,0,0,2,0,2,1.0,8.0,36.0,27.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,19264.0,13840.0,6.0,1160.0,2304.0,12.0,20.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2304.0,1024.0,192.0,1088.0,16.0,12.0,8.0,5.0,2.0,15984.0,0.0,17120.0
26,393082,8192,169361.0,exec parfile.par,950.8292203281922,40,1,39,0,0,40,0.0,327680.0,73749.0,10239.0,8192.0,52248576.0,0.0,0.0,0.0,0.0,32768.0,0.0,104513536.0,353.0,74645505244.0,864496430852.0,0.0,10771200.0,29346896.0,24584.0,49163.0,2.0,0.0,0.0,5.0,3693.0,4494.0,0.0,0.0,42098.0,9093.0,48382967.0,3759918.0,31971.0,20.0,14772.0,17976.0,0.0,0.0,43407872.0,31462728.0,17463984.0,37012736.0,28389550.0,17433657.0,2584137.0,2139670.0,106632.0,130518272.0,39174.0,164710552.0
27,49294,112,14.0,/u/staff/arnoldg/ior/src/ior -f /u/staff/arnoldg/ior/iorscript,4130.793482419726,1,0,0,1,0,1,0.0,1792.0,0.0,0.0,3584.0,3584.0,0.0,0.0,0.0,0.0,0.0,896.0,0.0,2.0,30064771072.0,30064771072.0,784.0,8388608.0,8388608.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,8388608.0,0.0,0.0,0.0,7168.0,0.0,0.0,0.0,7.0,536870912.0,41.0,536870912.0
28,49294,112,14.0,/u/staff/arnoldg/ior/src/ior -f /u/staff/arnoldg/ior/iorscript,3981.2228359132273,1,0,0,1,0,1,0.0,1792.0,0.0,0.0,3584.0,3584.0,0.0,0.0,0.0,0.0,0.0,896.0,0.0,2.0,30064771072.0,30064771072.0,784.0,8388608.0,8388608.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,8388608.0,0.0,0.0,0.0,7168.0,0.0,0.0,0.0,16.0,536870912.0,69.0,536870912.0
29,49294,112,15.0,/u/staff/arnoldg/ior/src/ior -f /u/staff/arnoldg/ior/iorscript,4121.881187566679,1,0,0,1,0,1,0.0,1792.0,0.0,0.0,3584.0,3584.0,0.0,0.0,0.0,0.0,0.0,896.0,0.0,2.0,30064771072.0,30064771072.0,784.0,8388608.0,8388608.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,8388608.0,0.0,0.0,0.0,7168.0,0.0,0.0,0.0,86.0,536870912.0,6.0,536870912.0
30,393082,8192,169365.0,exec parfile.par,952.8433772150189,40,1,39,0,0,40,0.0,327680.0,73749.0,10239.0,8192.0,52248576.0,0.0,0.0,0.0,0.0,32768.0,0.0,104513536.0,353.0,74645505244.0,864496430852.0,0.0,10771200.0,30220960.0,24584.0,49163.0,2.0,0.0,0.0,5.0,3693.0,4494.0,0.0,0.0,42098.0,9093.0,48382967.0,3759918.0,31971.0,20.0,14772.0,17976.0,0.0,0.0,43407872.0,31462728.0,17463984.0,37012736.0,28389550.0,17433657.0,2584137.0,2139670.0,91144.0,123118848.0,25027.0,234135168.0
31,393082,8192,169620.0,exec parfile.par,137.7774189474135,57,1,56,0,0,57,0.0,466944.0,73749.0,14752.0,8192.0,75243520.0,0.0,0.0,0.0,0.0,49152.0,0.0,150503424.0,506.0,74645505244.0,1263015998596.0,0.0,11299200.0,56426248.0,24584.0,49163.0,2.0,0.0,0.0,5.0,3693.0,4494.0,0.0,0.0,42602.0,13098.0,69692556.0,5414868.0,45996.0,30.0,22158.0,26964.0,0.0,0.0,65088512.0,47168328.0,26180784.0,50103296.0,40886314.0,25109626.0,3718101.0,3080017.0,250489.0,145084000.0,29499.0,599490340.0
